1, Nikol Eva, Guzman Bravo, 45981743, nikoleva.guzmanbravo@email.com, FEMENINO, b6YsQNMUDT, 230717, 
2, Yonatan, Rivas Valdelomar, 44357654, yonatan.rivasvaldelomar@usmp.pe, MASCULINO, FLK2bP7gA1, 230425, 
3, Flor Ashly, Garcia Pinedo, 64016897, florashly.garciapinedo@gmail.com, FEMENINO, o96cx5asZz, 231114, 240329
4, Roxana, Alfaro Reyes, 48728005, roxana.alfaroreyes@test.com, FEMENINO, Yw74OhNv9L, 231124, 
5, Beatriz, Fernandez Ortiz, 10036302, beatriz.fernandezortiz@email.com, FEMENINO, QbdDqpDVd8, 230131, 
6, Julia, Alegria Rivera, 96506064, julia.alegriarivera@example.com, FEMENINO, rO47sSdJHc, 230224, 240118
7, Claudia Giannina, Tompson Roldan, 05575602, claudiagiannina.tompsonroldan@usmp.pe, FEMENINO, Gd5s09Ug48, 230824, 
8, Renato, Apolinario Vargas, 45231795, renato.apolinariovargas@gmail.com, MASCULINO, 50uC61rUB5, 230511, 240130
9, Ignacio, Romero Arias, 32693946, ignacio.romeroarias@test.com, MASCULINO, 6r4CP899Qp, 230703, 
10, Jazmin Nicoll, Arpasi Benavides, 52387936, jazminnicoll.arpasibenavides@hotmail.com, FEMENINO, 3PtRD9SGcp, 230812, 
11, Pilar, Aliaga Briceno, 44394657, pilar.aliagabriceno@gmail.com, FEMENINO, BzpbvR4Zhz, 230816, 
12, Frederick, Palomino Magallan, 80713682, frederick.palominomagallan@hotmail.com, MASCULINO, VMcAmVMcCX, 240101, 240223
13, Lidia, Quichiz Galindo, 09484917, lidia.quichizgalindo@example.com, FEMENINO, Cs14RhK20N, 230621, 240401
14, Nick Angelo, Borcari Bautista, 22506071, nickangelo.borcaribautista@email.com, MASCULINO, O9MesxYUH3, 230102, 240307
15, Nicoll, Gamarra Arevalo, 07506412, nicoll.gamarraarevalo@email.com, FEMENINO, TKJmQg49l3, 230527, 
16, Monica Brigitte, Cano Robles, 46470372, monicabrigitte.canorobles@gmail.com, FEMENINO, pnlIOBuRp0, 230303, 
17, Jerika, Robles Apaza, 00019875, jerika.roblesapaza@test.com, FEMENINO, Uncq3HkzGS, 230326, 240706
18, Joseline Samantha, Tamayo Berrocal, 35109691, joselinesamantha.tamayoberrocal@usmp.pe, FEMENINO, 4bOrq8QpFB, 231226, 240528
19, Carmen Pamela, Bertolotti Cabrera, 25861293, carmenpamela.bertolotticabrera@test.com, FEMENINO, CaEIZNZyu6, 230825, 
20, Rosalinda Yahaira, Ramos Bilbao, 42130144, rosalindayahaira.ramosbilbao@example.com, FEMENINO, Qd27pIVAaN, 230218, 
21, Joe, Vega Aquino, 98166651, joe.vegaaquino@usmp.pe, MASCULINO, TQfDJ94VWT, 230428, 240723
22, Angelina Annie, Martinez Bertolotti, 18969160, angelinaannie.martinezbertolotti@usmp.pe, FEMENINO, X22t69Zakg, 230214, 
23, Karim Jorge, Rivas Carrillo, 04749356, karimjorge.rivascarrillo@test.com, MASCULINO, 9ib1D0SqfL, 230728, 
24, Joaquin, Velez Bruna, 17696485, joaquin.velezbruna@usmp.pe, MASCULINO, wi8TYNmtrE, 230323, 
25, Jorge Nestor, Vilcayauri Paredes, 22026609, jorgenestor.vilcayauriparedes@example.com, MASCULINO, 7Lsye9YQT3, 230511, 240301
26, Gabriela, Barrantes Benavente, 93003139, gabriela.barrantesbenavente@test.com, FEMENINO, zPrlcR8zjs, 230121, 
27, Soledad Ariana, Auccapuma Ipanaque, 05665709, soledadariana.auccapumaipanaque@test.com, FEMENINO, vYm6IZQcs4, 230818, 240216
28, Jack, Tompson Andia, 99650268, jack.tompsonandia@hotmail.com, MASCULINO, lHnJVcrhWd, 230805, 240729
29, John Adrian, Anco Ibanez, 71729746, johnadrian.ancoibanez@usmp.pe, MASCULINO, ncQvsU2vMt, 230722, 
30, John Marcelo, Rebolledo Estrada, 43798901, johnmarcelo.rebolledoestrada@test.com, MASCULINO, RGwXhmu5Cd, 230527, 
31, Geraldine Cristina, Soria Mendoza, 90323665, geraldinecristina.soriamendoza@email.com, FEMENINO, NTdtU5YHw0, 230702, 240511
32, Cristhiam Tomas, Lara Dominguez, 84465959, cristhiamtomas.laradominguez@example.com, MASCULINO, iE21JSFDbA, 230625, 240307
33, Yannella, Carrillo Bravo, 99834285, yannella.carrillobravo@example.com, FEMENINO, 5W923YMsr2, 230810, 240712
34, Aurora, Arboleda Estrada, 71125248, aurora.arboledaestrada@example.com, FEMENINO, j7HhjAhHiL, 230903, 
35, Dayana, Gomez Bayona, 19122091, dayana.gomezbayona@email.com, FEMENINO, kH0TDoaJhS, 230929, 240903
36, Leonardo, Vilchez Martinez, 30122429, leonardo.vilchezmartinez@email.com, MASCULINO, JSZC8Vxjrf, 230706, 240127
37, Henry, Prada Julcarima, 70971569, henry.pradajulcarima@example.com, MASCULINO, En29tTKraY, 230410, 241230
38, Angela Cristina, Chuchon Alva, 19986501, angelacristina.chuchonalva@gmail.com, FEMENINO, aMbGsUwXhT, 230726, 
39, Harold, Campomanes Huertas, 65271562, harold.campomaneshuertas@hotmail.com, MASCULINO, U4KLqIMJUf, 230603, 240501
40, Andy, Tamayo Arroyo, 62904188, andy.tamayoarroyo@email.com, MASCULINO, usjZhUttfY, 230725, 240928
41, Francisco, Lezcano AvelinoLinares, 20239087, francisco.lezcanoavelinolinares@gmail.com, MASCULINO, e4udYgyR1D, 230319, 240525
42, Giancarlo Mario, Carbajal Davila, 53582953, giancarlomario.carbajaldavila@example.com, MASCULINO, 0fkJFfzNzZ, 231227, 240520
43, Rossana Emma, Asencios Pereira, 26741790, rossanaemma.asenciospereira@usmp.pe, FEMENINO, CbRYlevh56, 231105, 240422
44, Steven Roy, Garcia Arias, 78003043, stevenroy.garciaarias@hotmail.com, MASCULINO, 8rDX59njFV, 230104, 240123
45, Carolina, Ramirez Carrillo, 15296215, carolina.ramirezcarrillo@email.com, FEMENINO, 4sj82elvIY, 230712, 240526
46, Joe Bryan, Magallan Barrantes, 88802708, joebryan.magallanbarrantes@gmail.com, MASCULINO, Vcj7KA0NWP, 231203, 
47, Leo Ernesto, Aiquipa Sullca, 71543037, leoernesto.aiquipasullca@gmail.com, MASCULINO, mEaowO1fPm, 231009, 
48, Julio, Carrillo Arapa, 87557140, julio.carrilloarapa@example.com, MASCULINO, RQYqE55OhS, 231029, 240130
49, Geraldine Valeria, Armas AvelinoLinares, 03716148, geraldinevaleria.armasavelinolinares@example.com, FEMENINO, yKwu7Z6bYn, 231031, 240424
50, Giancarlo, Lara Armas, 88125312, giancarlo.laraarmas@email.com, MASCULINO, 47FK8yKFiy, 230203, 240524
51, Sandro Matias, Vasquez Delgado, 27567006, sandromatias.vasquezdelgado@hotmail.com, MASCULINO, o9Q0BW2r7s, 230422, 
52, Ariana, Alvarado Bruna, 80862561, ariana.alvaradobruna@email.com, FEMENINO, b4LgE9EBFB, 231111, 
